ngày yêu thương	nguyễn hồng ân	ngay-yeu-thuong-nguyen-hong-an
bao giờ hết cô đơn	hồ việt trung	bao-gio-het-co-don-ho-viet-trung
cảm giác	điền ân	cam-giac-dien-an
yếu đuối để ai xem	tuấn kiệt	yeu-duoi-de-ai-xem-tuan-kiet
nỗi buồn của tôi	trường sơn	noi-buon-cua-toi-truong-son
huế, cafe chém gió	lt tiến lực	hue-cafe-chem-gio-lt-tien-luc
vì trái tim ta có nhau	knk	vi-trai-tim-ta-co-nhau-knk
mặt nạ	danh hiếu	mat-na-danh-hieu
chờ một người quen	nguyễn hoàng anh	cho-mot-nguoi-quen-nguyen-hoang-anh
cho anh một ngày	lưu việt hùng	cho-anh-mot-ngay-luu-viet-hung
điệu lý câu hò	nguyễn kiều oanh	dieu-ly-cau-ho-nguyen-kieu-oanh
lửa tình	minh thuận đại vệ	lua-tinh-minh-thuan-dai-ve
mong ước kỉ niệm xưa	dương nhân trung	mong-uoc-ki-niem-xua-duong-nhan-trung
khi em già rồi	dương nhân trung	khi-em-gia-roi-duong-nhan-trung
anh không đòi quà	ngọc sơn	anh-khong-doi-qua-ngoc-son
thương nhớ một người	chế linh	thuong-nho-mot-nguoi-che-linh
liên khúc trăm nhớ ngàn thương - nghẹn ngào	dương thiện lâm tạ kim yến	lien-khuc-tram-nho-ngan-thuong-nghen-ngao-duong-thien-lam-ta-kim-yen
nhịp nôi xưa	thư lê	nhip-noi-xua-thu-le
thời gian ơi đi đâu mất rồi	lee phú quý	thoi-gian-oi-di-dau-mat-roi-lee-phu-quy
thương hoài miền tây	dương đình trí nsưt thanh ngân	thuong-hoai-mien-tay-duong-dinh-tri-nsut-thanh-ngan
người tài xế	vũ quốc việt	nguoi-tai-xe-vu-quoc-viet
niềm hạnh phúc	mtv	niem-hanh-phuc-mtv
mong đời thứ lỗi	hùng trọc	mong-doi-thu-loi-hung-troc
bơ đi mà sống	aaron hoàn	bo-di-ma-song-aaron-hoan
không bao giờ quên bạn	ron	khong-bao-gio-quen-ban-ron
đời doanh nhân	quách tuấn du	doi-doanh-nhan-quach-tuan-du
bậu đi theo người	hoàng minh thắng	bau-di-theo-nguoi-hoang-minh-thang
như loan phượng đời đời bên nhau	minh thuận	nhu-loan-phuong-doi-doi-ben-nhau-minh-thuan
tình yêu giữa mùa đông	phan mạnh quỳnh	tinh-yeu-giua-mua-dong-phan-manh-quynh
khi chúng ta không còn thương nhau nữa	lưu hiền trinh	khi-chung-ta-khong-con-thuong-nhau-nua-luu-hien-trinh
bước quên	cẩm ly	buoc-quen-cam-ly
đơn giản vậy thôi	lâm nguyên	don-gian-vay-thoi-lam-nguyen
vẫn mong em bên anh	nguyễn thắng	van-mong-em-ben-anh-nguyen-thang
ngày mai của những ngày mai	an nam	ngay-mai-cua-nhung-ngay-mai-an-nam
để tang tình đầu	hoàng châu	de-tang-tinh-dau-hoang-chau
lời ru thánh	thùy trâm	loi-ru-thanh-thuy-tram
đám cưới trên đường quê	hoàng hoa	dam-cuoi-tren-duong-que-hoang-hoa
phàn lê huê	bình tinh hoàng đăng khoa vũ linh	phan-le-hue-vu-linh-hoang-dang-khoa-binh-tinh
hoa xuân khoe sắc	bé minh thư	hoa-xuan-khoe-sac-be-minh-thu
người lạ ơi (masew mix)	nhiều nghệ sĩ	nguoi-la-oi-masew-mix-masew-karik-orange-superbrothers
chắc đôi mi lại cay	nguyễn đình vũ	chac-doi-mi-lai-cay-nguyen-dinh-vu
vết thương quá khứ	nguyễn hữu thành	vet-thuong-qua-khu-nguyen-huu-thanh
tạm thời tôi muốn một mình	hamlet trương	tam-thoi-toi-muon-mot-minh-hamlet-truong
tình ông cháu	vũ quốc việt	tinh-ong-chau-vu-quoc-viet
anh cần	151 band	anh-can-151-band
rồi cũng kết thúc	nguyễn cao danh	roi-cung-ket-thuc-nguyen-cao-danh
mưa cuối mùa	bối dank lee	mua-cuoi-mua-dank-lee-boi
mùa thu níu bước em về	trang nhung	mua-thu-niu-buoc-em-ve-trang-nhung
anh ru em ngủ	ngọc lễ phương thảo	anh-ru-em-ngu-phuong-thao-ngoc-le
quan âm vô lượng	nguyễn linh	quan-am-vo-luong-nguyen-linh
mashup tình em mùa xuân	chi dân	mashup-tinh-em-mua-xuan-chi-dan
vén rèm châu	trần hùng tuấn	ven-rem-chau-tran-hung-tuan
lá rớt trên vai	thảo nhi	la-rot-tren-vai-thao-nhi
biến tan	hoàng hải thoại	bien-tan-hoang-hai-thoai
làm sao anh quên	quốc cường	lam-sao-anh-quen-quoc-cuong
xin mưa thôi rơi	huy luân	xin-mua-thoi-roi-huy-luan
lạy mẹ quan âm	anh thư nguyễn	lay-me-quan-am-anh-thu-nguyen
tóc mây cài lược	thanh ngọc	toc-may-cai-luoc-thanh-ngoc
trai ngoan cua gái	lâm phúc quân	trai-ngoan-cua-gai-lam-phuc-quan
nỗi đau mang tên anh	wendy thảo	noi-dau-mang-ten-anh-wendy-thao
cơn mưa trong đời	kiwi ngô mai trang	con-mua-trong-doi-kiwi-ngo-mai-trang
thêm một cơ hội	võ phúc hưng	them-mot-co-hoi-vo-phuc-hung
người mẹ trong trí tưởng tưởng	dương hoài quý	nguoi-me-trong-tri-tuong-tuong-duong-hoai-quy
thơ viết thời con gái	tùng dương	tho-viet-thoi-con-gai-tung-duong
hãy nói thật lòng	hoàng châu	hay-noi-that-long-hoang-chau
chuột yêu gạo	kelvin khánh khởi my	chuot-yeu-gao-khoi-my-kelvin-khanh
tạ ơn mẹ	minh thảo (bolero)	ta-on-me-minh-thao-bolero
từ khi có em	tam ca thế hệ mới	tu-khi-co-em-tam-ca-the-he-moi
thiên đường giá băng	khánh dũng minh thiên	thien-duong-gia-bang-khanh-dung-minh-thien
duyên đã hết phận cũng tan	phạm thanh sang	duyen-da-het-phan-cung-tan-pham-thanh-sang
ai cũng có ước mơ	văn mai hương	ai-cung-co-uoc-mo-van-mai-huong
yêu nhau xin giữ trong tim	khang chấn thi	yeu-nhau-xin-giu-trong-tim-khang-chan-thi
em có yêu anh	khang việt	em-co-yeu-anh-khang-viet
sài gòn tín ngưỡng	sg prider	sai-gon-tin-nguong-sg-prider
chuyện ngày mình ba đứa	bá thắng hòa hiệp kha ly	chuyen-ngay-minh-ba-dua-ba-thang-kha-ly-hoa-hiep
chạy theo giấc mơ	kim ny ngọc	chay-theo-giac-mo-kim-ny-ngoc
chạm là vỡ	hyo	cham-la-vo-cao-trung-hieu
hương thơm diệu kỳ	đàm thu trang	huong-thom-dieu-ky-dam-thu-trang
có một vầng trăng	thái thùy linh	co-mot-vang-trang-thai-thuy-linh
hãy để em bình yên	nhật kim anh	hay-de-em-binh-yen-nhat-kim-anh
yêu dấu tan theo	ngọc lan	yeu-dau-tan-theo-ngoc-lan
khát khao mùa xuân	việt quang	khat-khao-mua-xuan-viet-quang
đông đến em đi	maxt bảo nam	dong-den-em-di-maxt-bao-nam
khác biệt	365daband	khac-biet-365daband
bản sắc	lee phú quý	ban-sac-lee-phu-quy
liên khúc dù anh nghèo - nếu chúng mình cách trở	quân bảo quỳnh trang	lien-khuc-du-anh-ngheo-neu-chung-minh-cach-tro-quynh-trang-quan-bao
liên khúc tôn thờ một tình yêu	bằng cường	lien-khuc-ton-tho-mot-tinh-yeu-bang-cuong
trái tim thể thao	135 band	trai-tim-the-thao-135-band
cơn mưa chiều	hồ quang hiếu	con-mua-chieu-ho-quang-hieu
giờ thì em	quang mask	gio-thi-em-quang-mask
mái trường thân yêu	vương minh huy	mai-truong-than-yeu-vuong-minh-huy
lặng lẽ mùa đông	lâm hùng	lang-le-mua-dong-lam-hung
trâu bé nghé con	lê uyên nhi	trau-be-nghe-con-le-uyen-nhi
công chúa cà la	ngọc lan vy	cong-chua-ca-la-be-lan-vy
tết ơi con muốn về nhà	hồng duyên	tet-oi-con-muon-ve-nha-hong-duyen
sao chẳng là anh	h2k	sao-chang-la-anh-h2k
nếu một ngày chúng ta không còn gặp	2can dick	neu-mot-ngay-chung-ta-khong-con-gap-dick-2can
thiên sứ tình yêu	đan trường	thien-su-tinh-yeu-dan-truong
đêm lạnh vắng anh	anh thúy	dem-lanh-vang-anh-anh-thuy
thiên sứ yêu thương (fly)	thanh trà (ice tea)	thien-su-yeu-thuong-fly-thanh-tra-ice-tea
trách chi em cũng thế thôi	minh tùng	trach-chi-em-cung-the-thoi-minh-tung
giọng hò quê hương	hoài phương	giong-ho-que-huong-hoai-phuong
cô đơn dưới mưa	anh tài	co-don-duoi-mua-anh-tai
giấu	hoàng thùy linh	giau-hoang-thuy-linh
mưa ngâu	hoàng chiến	mua-ngau-hoang-chien
đừng bỏ em một mình	lina nguyễn	dung-bo-em-mot-minh-lina-nguyen
hoa đào năm ấy	tường nguyên	hoa-dao-nam-ay-tuong-nguyen
mưa đêm tỉnh nhỏ	trường sơn	mua-dem-tinh-nho-truong-son
khi đã nhạt phai	phan đinh tùng	khi-da-nhat-phai-phan-dinh-tung
hãy cho em gần bên anh	phương anh	hay-cho-em-gan-ben-anh-phuong-anh
tiếng mưa buồn	dalena	tieng-mua-buon-dalena
giáng sinh trong mái nghèo	lm.jb.nguyễn sang	giang-sinh-trong-mai-ngheo-lm-jb-nguyen-sang
em ơi làm vợ anh nhé	lê vương	em-oi-lam-vo-anh-nhe-le-vuong
gần anh	jay phan tín taro	gan-anh-jay-phan-tin-taro
từ trái tim	nguyễn ngọc anh	tu-trai-tim-nguyen-ngoc-anh
ánh mắt đầu tiên	alina thảo lê	anh-mat-dau-tien-thao-le
nơi hạnh phúc nhất của anh và em	duy khoa	noi-hanh-phuc-nhat-cua-anh-va-em-duy-khoa
trôi về phía em	kent trần kin k.c	troi-ve-phia-em-kin-k-c-kent-tran
da nâu	phi thanh vân	da-nau-phi-thanh-van
lừa dối	quang hà	lua-doi-quang-ha
anh ba lục bình	ngô tấn trường	anh-ba-luc-binh-ngo-tan-truong
lời hứa kẻ thay lòng	sơn ca	loi-hua-ke-thay-long-son-ca
chuyện ba mùa mưa	anh thư nguyễn	chuyen-ba-mua-mua-anh-thu-nguyen
yêu một người sống bên một người	minh tuyết	yeu-mot-nguoi-song-ben-mot-nguoi-minh-tuyet
tình ta mất vì vật chất	annielink kayshi	tinh-ta-mat-vi-vat-chat-kayshi-annielink
nếu ngày mai gặp lại	khang luân	neu-ngay-mai-gap-lai-khang-luan
huyền sử phú lâu na	nsưt thanh ngân	huyen-su-phu-lau-na-nsut-thanh-ngan
làm sao đây	karik	lam-sao-day-karik
anh vẫn nhớ về em	hoàng minh hiệp	anh-van-nho-ve-em-hoang-minh-hiep
ngày nào có nhau	cao thái sơn	ngay-nao-co-nhau-cao-thai-son
liên khúc trao người ở lại	khôi nguyên	lien-khuc-trao-nguoi-o-lai-khoi-nguyen
tại anh hay tại sao	đại hải	tai-anh-hay-tai-sao-dai-hai
cô bé xe tay ga	lâm onbi	co-be-xe-tay-ga-lam-onbi
chút nắng cuối đông	nachi khang	chut-nang-cuoi-dong-nachi-khang
nỗi nhớ không tên	oplus	noi-nho-khong-ten-oplus
tìm trong giấc mơ	kiwi ngô mai trang	tim-trong-giac-mo-kiwi-ngo-mai-trang
anh muốn quên em không	nam em	anh-muon-quen-em-khong-nam-em
nhìn vào đôi mắt tôi	minh thuận nhật hào	nhin-vao-doi-mat-toi-minh-thuan-nhat-hao
tình vẫn mãi xanh	nhật hạ	tinh-van-mai-xanh-nhat-ha
ngày đông bên em	duy khánh zhou zhou	ngay-dong-ben-em-duy-khanh-zhou-zhou
cố nhân thán	lee phú quý	co-nhan-than-lee-phu-quy
lk trống cơm - trèo lên quán dốc	thu phương	lk-trong-com-treo-len-quan-doc-thu-phuong
nơi tình yêu ngọt ngào	katy trang	noi-tinh-yeu-ngot-ngao-katy-trang
điệu buồn lục tỉnh	dương nghi đình sơn hạ	dieu-buon-luc-tinh-duong-nghi-dinh-son-ha
ngày xưa ơi	mai tuyết nhi	ngay-xua-oi-mai-tuyet-nhi
cho anh bên em	huỳnh quốc an	cho-anh-ben-em-huynh-quoc-an
là con gái	bé trang thư	la-con-gai-be-trang-thu
cao tiệm ly	phú tiến phú	cao-tiem-ly-phu-tien-phu
tận cùng chỉ là lời hứa	vĩnh thuyên kim	tan-cung-chi-la-loi-hua-vinh-thuyen-kim
sưởi ấm trái tim	khánh trung ân khải minh	suoi-am-trai-tim-khanh-trung-an-khai-minh
tạm biệt em yêu	phương anh tống hạo nhiên	tam-biet-em-yeu-tong-hao-nhien-phuong-anh
chỉ nhắc những niềm vui	aslan	chi-nhac-nhung-niem-vui-aslan
rồi cũng sẽ quên được nhau thôi	lưu chí vỹ	roi-cung-se-quen-duoc-nhau-thoi-luu-chi-vy
tí tách	dubbie jang mi	ti-tach-jang-mi-dubbie
chiều	khắc triệu	chieu-khac-trieu
đời phiêu lãng	d d	doi-phieu-lang-d-d
mình thuộc về nhau	khởi phong võ kiều vân	minh-thuoc-ve-nhau-vo-kieu-van-khoi-phong
vô hình	bức tường	vo-hinh-buc-tuong
kí ức anh nhớ em	lệ rơi vũ quốc nhật vương bảo nam	ki-uc-anh-nho-em-le-roi-vu-quoc-nhat-vuong-bao-nam
liên khúc hạ trắng	hồng ngọc	lien-khuc-ha-trang-hong-ngoc
nỗi lòng	cindy thái tài	noi-long-cindy-thai-tai
phải làm gì để quên	onlyc	phai-lam-gi-de-quen-onlyc
phút thoáng qua	phương anh	phut-thoang-qua-phuong-anh
tình yêu sẽ ấm lại	đoàn khánh dương	tinh-yeu-se-am-lai-khanh-duong
im lặng	lê yến vy	im-lang-le-yen-vy
lột xác (team giang hồng ngọc - duy anh - dj king lady)	giang hồng ngọc	lot-xac-team-giang-hong-ngoc-duy-anh-dj-king-lady-giang-hong-ngoc
đố ai thấy tôi khóc	nguyên chấn phong	do-ai-thay-toi-khoc-nguyen-chan-phong
mất thằng bạn	kick	mat-thang-ban-kick
đừng yêu cho mình	dương gia khánh	dung-yeu-cho-minh-duong-gia-khanh
tôi cần em	tara	toi-can-em-tara
ba năm	lâm chấn kiệt	ba-nam-lam-chan-kiet
hương à	vrt đinh khương	huong-a-dinh-khuong-vrt
nonstop chuyến bay một cuộc tình	cao tùng anh	nonstop-chuyen-bay-mot-cuoc-tinh-cao-tung-anh
tết chưa mẹ	bé anh thư	tet-chua-me-be-anh-thu
đừng bao giờ coi thường người khác	nhiều nghệ sĩ	dung-bao-gio-coi-thuong-nguoi-khac-tuong-quan-duong-hung-truong-linh-dan-long-hai-tao-lu-phu-ngo-truong
anh hết yêu em rồi	asa	anh-het-yeu-em-roi-asa
dãy ngân hà đôi ta	la nhật tiến	day-ngan-ha-doi-ta-la-nhat-tien
câu hỏi dành cho anh	lyna thùy linh lương minh trang	cau-hoi-danh-cho-anh-lyna-thuy-linh-luong-minh-trang
lỗi của con tim	chi dân huỳnh mi	loi-cua-con-tim-huynh-mi-chi-dan
thương hoài mồng tơi	long hồ	thuong-hoai-mong-toi-long-ho
mẹ chồng nàng dâu	khánh bình lê giang phi nhung	me-chong-nang-dau-khanh-binh-phi-nhung-le-giang
lk nỗi buồn hoa phượng	đình phước	lk-noi-buon-hoa-phuong-dinh-phuoc
nhớ em đêm này	khang việt	nho-em-dem-nay-khang-viet
liên khúc một vòng tình yêu	tim	lien-khuc-mot-vong-tinh-yeu-tim
nhớ rất nhiều	kim hải nhi	nho-rat-nhieu-kim-hai-nhi
giọt đàn thạch sanh	dương tuấn khanh	giot-dan-thach-sanh-duong-tuan-khanh
cuộc tình vắng anh	điền thái toàn	cuoc-tinh-vang-anh-dien-thai-toan
cứ thế mà đi	oplus	cu-the-ma-di-oplus
thương lắm vợ ơi	lâm quang long	thuong-lam-vo-oi-lam-quang-long
mỗi người một lối đi	dương ngọc thái	moi-nguoi-mot-loi-di-duong-ngoc-thai
kiếp ve sầu	lương tùng quang	kiep-ve-sau-luong-tung-quang
anh đã thấy hết	chu bin	anh-da-thay-het-chu-bin
không có ánh sáng	datmaniac	khong-co-anh-sang-datmaniac
chùa thiêng bái đính	bé ngọc ngân	chua-thieng-bai-dinh-be-ngoc-ngan
anh biết không anh	hải vy	anh-biet-khong-anh-hai-vy
người thừa trong trái tim	hoàng châu	nguoi-thua-trong-trai-tim-hoang-chau
em giờ đã khác	thành đại siêu	em-gio-da-khac-thanh-dai-sieu
tiếng sét ái tình	hàn thái tú	tieng-set-ai-tinh-han-thai-tu
người tình và quê hương	đăng nguyên	nguoi-tinh-va-que-huong-dang-nguyen
cà phê mê	duy khoa	ca-phe-me-duy-khoa
hoa nhớ thương ai	mỹ châu	hoa-nho-thuong-ai-my-chau
mãi yêu nhau hoài	huỳnh như trọng phúc	mai-yeu-nhau-hoai-huynh-nhu-trong-phuc
giữ	ân khải minh	giu-an-khai-minh
tan bao hy vọng	hoàng thiên thanh	tan-bao-hy-vong-hoang-thien-thanh
xuân này nhớ xuân xưa	phương dung	xuan-nay-nho-xuan-xua-phuong-dung
sao phải chán	ssay huỳnh	sao-phai-chan-ssay-huynh
trở về	đông duy	tro-ve-dong-duy
cành hồng dâng mẹ	tường huy	canh-hong-dang-me-tuong-huy
vơi dần (deep house)	vũ khánh dương	voi-dan-deep-house-vu-khanh-duong
khúc tango lãng quên	lê hoàng ân	khuc-tango-lang-quen-le-hoang-an
khao khát	madihu vũ.	khao-khat-madihu-vu
cười lên đi em ơi	như loan	cuoi-len-di-em-oi-nhu-loan
anh xin lỗi	bfb band	anh-xin-loi-bfb-band
em vẫn yêu anh	đoan trang	em-van-yeu-anh-doan-trang
trách anh	khởi my	trach-anh-khoi-my
ước mơ mùa giáng sinh	y jalin	uoc-mo-mua-giang-sinh-y-jalin
huyền thoại một vì sao	lm.jb.nguyễn sang	huyen-thoai-mot-vi-sao-lm-jb-nguyen-sang
tình đã ra đi	roc piin	tinh-da-ra-di-roc-piin
hoài nhớ	cao vũ	hoai-nho-cao-vu
lk xuân đã về - ngày tết quê em	đinh quốc anh	lk-xuan-da-ve-ngay-tet-que-em-dinh-quoc-anh
về	xinpiti	ve-xinpiti
mẹ việt nam	anh thư	me-viet-nam-anh-thu
tình quê miền tây	cô ú	tinh-que-mien-tay-co-u
câu hò bên bờ hiền lương	phương thùy	cau-ho-ben-bo-hien-luong-phuong-thuy
medley chỉ là giấc mơ góc tối	ngô kiến huy	medley-chi-la-giac-mo-goc-toi-ngo-kien-huy
kiếp sau nguyện làm đóa hoa sen	lâm triệu minh	kiep-sau-nguyen-lam-doa-hoa-sen-lam-trieu-minh
một thuở yêu người	hoàng chiến	mot-thuo-yeu-nguoi-hoang-chien
tự nhiên khóc	yuki huy nam	tu-nhien-khoc-yuki-huy-nam
có tình mà nghèo	hàn thái tú	co-tinh-ma-ngheo-han-thai-tu
nhớ tần phi	đình phước	nho-tan-phi-dinh-phuoc
đắp mộ một cuộc tình	hương ngọc vân	dap-mo-mot-cuoc-tinh-huong-ngoc-van
trách thân vô tình	thiên bảo	trach-than-vo-tinh-thien-bao
khát	nguyên thảo	khat-nguyen-thao
liên khúc tình yêu bất hủ	anh thúy	lien-khuc-tinh-yeu-bat-hu-anh-thuy
dành hết cho con	bé thoại nghi diệu hiền	danh-het-cho-con-be-thoai-nghi-dieu-hien
nghịch cảnh	hà hải đăng	nghich-canh-ha-hai-dang
cả thế giới biết anh nhớ em	lương gia huy	ca-the-gioi-biet-anh-nho-em-luong-gia-huy
áo dài cuối phố	hà chương	ao-dai-cuoi-pho-ha-chuong
hãy trở về với tôi	dương 565	hay-tro-ve-voi-toi-duong-565
oai hùng lân sư rồng	trịnh bảo bàng	oai-hung-lan-su-rong-trinh-bao-bang
con tim yếu đuối	thiều bảo trang	con-tim-yeu-duoi-thieu-bao-trang
giá như quên được anh	tăng quỳnh my	gia-nhu-quen-duoc-anh-tang-quynh-my
yêu thật lòng quá	lưu bảo huy	yeu-that-long-qua-luu-bao-huy
mượn xe nhớ đổ xăng	yuki huy nam	muon-xe-nho-do-xang-yuki-huy-nam
anh sẽ mạnh mẽ yêu em	mr siro	anh-se-manh-me-yeu-em-mr-siro
cô dâu của anh	đinh kiến phong	co-dau-cua-anh-dinh-kien-phong
bắt đầu lại thôi, niềm mơ ước trong tôi	jimmi jc nguyễn khánh loan	bat-dau-lai-thoi-niem-mo-uoc-trong-toi-khanh-loan-jimmi-jc-nguyen
nước mắt và nụ cười	quách an an	nuoc-mat-va-nu-cuoi-quach-an-an
bức tranh vẽ trên cát	phi vũ	buc-tranh-ve-tren-cat-phi-vu
sẽ lại về với nhau	hoàng ka	se-lai-ve-voi-nhau-hoang-ka
ký ức của mưa	bảo thy	ky-uc-cua-mua-bao-thy
vì em đã quá yêu anh	kim ngân	vi-em-da-qua-yeu-anh-kim-ngan
yêu em thôi	bằng cường mắt ngọc	yeu-em-thoi-bang-cuong-mat-ngoc
dẫu có bao lâu	đàm thu trang	dau-co-bao-lau-dam-thu-trang
sự thật về một tình yêu	nhật thăng	su-that-ve-mot-tinh-yeu-nhat-thang
tình yêu trên dòng sông quan họ	lưu nhật hào	tinh-yeu-tren-dong-song-quan-ho-luu-nhat-hao
gợi cảm	kim ny ngọc	goi-cam-kim-ny-ngoc
bài hát cho người kỹ nữ	đăng vinh	bai-hat-cho-nguoi-ky-nu-dang-vinh
dòng sông tuổi thơ tôi	yên nhiên	dong-song-tuoi-tho-toi-yen-nhien
anh sẽ hát ngay lúc này	hoàng gia huy	anh-se-hat-ngay-luc-nay-hoang-gia-huy
khi yêu đừng tin ai vội vàng	jay c phong quân	khi-yeu-dung-tin-ai-voi-vang-jay-c-phong-quan
như ngày nào	shin hồng vịnh	nhu-ngay-nao-shin-hong-vinh
thương cô gái bến tre	khang lê khánh anh	thuong-co-gai-ben-tre-khang-le-khanh-anh
lạc mất đời nhau	thanh hà	lac-mat-doi-nhau-thanh-ha
chiều trên quê hương tôi	thái hòa	chieu-tren-que-huong-toi-thai-hoa
ngày xuân bên mẹ	lê vỹ	ngay-xuan-ben-me-le-vy
giây phút giao thừa	đan trường	giay-phut-giao-thua-dan-truong
con nợ bố rất nhiều	minh trang lyly	con-no-bo-rat-nhieu-minh-trang-lyly
quên giấc mơ	hồ quang hiếu nam du	quen-giac-mo-ho-quang-hieu-nam-du
chút kỉ niệm buồn	anh quân bolero	chut-ki-niem-buon-anh-quan-bolero
quay về với em	lệ quyên	quay-ve-voi-em-le-quyen
những gian dối	fm band	nhung-gian-doi-fm
ngày mùa	hồng phượng lưu thiên ân	ngay-mua-luu-thien-an-hong-phuong
ký ức không về	tăng khả danh	ky-uc-khong-ve-tang-kha-danh
chào goodbye	huy dinh	chao-goodbye-huy-dinh
ngày xa lắm	cá hồi hoang	ngay-xa-lam-ca-hoi-hoang
hai lối đường tình	hoàng đăng khoa	hai-loi-duong-tinh-hoang-dang-khoa
đời không như là mơ.	đông đào	doi-khong-nhu-la-mo-dong-dao
gọi tên em trong đêm	an nam	goi-ten-em-trong-dem-an-nam
hãy cứ yêu	gia nhi nhi jii nguyễn krix	hay-cu-yeu-jii-nguyen-gia-nhi-nhi-krix
em đã sang sông	khang lê	em-da-sang-song-khang-le
xin đừng hỏi	lam trường	xin-dung-hoi-lam-truong
lk biết đến bao giờ	anh thư nguyễn phước lộc	lk-biet-den-bao-gio-anh-thu-nguyen-phuoc-loc
tan vỡ	anh tài	tan-vo-anh-tai
ba mặt một lời	hàn thái tú	ba-mat-mot-loi-han-thai-tu
hát mãi cho nhau	hòa hiệp	hat-mai-cho-nhau-hoa-hiep
già gân, mỹ nhân & gangster	tăng ngọc tuyền	gia-gan-my-nhan-gangster-tang-ngoc-tuyen
bà năm	mạnh linh	ba-nam-manh-linh
ơn thầy thầy ơi	bé thiện nhân	on-thay-thay-oi-be-thien-nhan
đời con cần có mẹ	thiên lành	doi-con-can-co-me-thien-lanh
trôi về đâu	băng tình	troi-ve-dau-bang-tinh
chuyện tình mưa	hải hằng	chuyen-tinh-mua-hai-hang
tình ngoại	thái minh nguyễn	tinh-ngoai-thai-minh-nguyen
em đi bỏ lại con đường	đàm vĩnh hưng	em-di-bo-lai-con-duong-dam-vinh-hung
tình ta chỉ là mơ	ngô kiến huy	tinh-ta-chi-la-mo-ngo-kien-huy
vì đời tôi là thế	quách tuấn du	vi-doi-toi-la-the-quach-tuan-du
một ngày vắng anh với em thật vô nghĩa	thu thủy	mot-ngay-vang-anh-voi-em-that-vo-nghia-thu-thuy
nhân bản	vũ mạnh tuấn	nhan-ban-vu-manh-tuan
ta hỏi phật	tuấn nguyễn	ta-hoi-phat-tuan-nguyen
quên em như quên thói quen	luna band	quen-em-nhu-quen-thoi-quen-luna-band
quãng đời sinh viên	lâm chấn huy	quang-doi-sinh-vien-lam-chan-huy
liều thuốc nào cho anh	hoàng minh đăng	lieu-thuoc-nao-cho-anh-hoang-minh-dang
